Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Man_Of_Match
2017-10-10,2.0,Guwahati,Barsapara Cricket Stadium,2017,Australia tour of India,T20,20,"India, Australia",India,Australia,international,Australia,field,Australia,,,8.0,JP Behrendorff
2018-06-27,,Birmingham,Edgbaston,2018,Australia tour of England,T20,20,"England, Australia",England,Australia,international,Australia,field,England,,28.0,,AU Rashid
2018-07-03,1.0,Manchester,Old Trafford,2018,India tour of Ireland and England,T20,20,"England, India",England,India,international,India,field,India,,,8.0,Kuldeep Yadav
2018-07-06,2.0,Cardiff,Sophia Gardens,2018,India tour of Ireland and England,T20,20,"India, England",India,England,international,England,field,England,,,5.0,AD Hales
2018-07-08,3.0,Bristol,County Ground,2018,India tour of Ireland and England,T20,20,"England, India",England,India,international,India,field,India,,,7.0,RG Sharma
2017-11-01,1.0,Delhi,Arun Jaitley Stadium,2017,New Zealand tour of India,T20,20,"India, New Zealand",India,New Zealand,international,New Zealand,field,India,,53.0,,S Dhawan
2017-11-04,2.0,Rajkot,Saurashtra Cricket Association Stadium,2017,New Zealand tour of India,T20,20,"New Zealand, India",New Zealand,India,international,New Zealand,bat,New Zealand,,40.0,,C Munro
2017-11-07,3.0,Thiruvananthapuram,Greenfield International Stadium,2017,New Zealand tour of India,T20,20,"India, New Zealand",India,New Zealand,international,New Zealand,field,India,,6.0,,JJ Bumrah
2017-10-26,1.0,Abu Dhabi,Sheikh Zayed Stadium,2017,Sri Lanka tour of United Arab Emirates and Pakistan,T20,20,"Sri Lanka, Pakistan",Sri Lanka,Pakistan,international,Pakistan,field,Pakistan,,,7.0,Usman Shinwari
2017-10-27,2.0,Abu Dhabi,Sheikh Zayed Stadium,2017,Sri Lanka tour of United Arab Emirates and Pakistan,T20,20,"Sri Lanka, Pakistan",Sri Lanka,Pakistan,international,Pakistan,field,Pakistan,,,2.0,Shadab Khan
2017-10-29,3.0,Lahore,Gaddafi Stadium,2017,Sri Lanka tour of United Arab Emirates and Pakistan,T20,20,"Pakistan, Sri Lanka",Pakistan,Sri Lanka,international,Sri Lanka,field,Pakistan,,36.0,,Shoaib Malik
2018-02-18,1.0,Johannesburg,The Wanderers Stadium,2017,India tour of South Africa,T20,20,"India, South Africa",India,South Africa,international,South Africa,field,India,,28.0,,B Kumar
2018-02-21,2.0,Centurion,SuperSport Park,2017,India tour of South Africa,T20,20,"India, South Africa",India,South Africa,international,South Africa,field,South Africa,,,6.0,H Klaasen
2018-02-24,3.0,Cape Town,Newlands,2017,India tour of South Africa,T20,20,"India, South Africa",India,South Africa,international,South Africa,field,India,,7.0,,SK Raina
2017-12-20,1.0,Cuttack,Barabati Stadium,2017,Sri Lanka tour of India,T20,20,"India, Sri Lanka",India,Sri Lanka,international,Sri Lanka,field,India,,93.0,,YS Chahal
2017-12-22,2.0,Indore,Holkar Cricket Stadium,2017,Sri Lanka tour of India,T20,20,"India, Sri Lanka",India,Sri Lanka,international,Sri Lanka,field,India,,88.0,,RG Sharma
2017-12-24,3.0,Mumbai,Wankhede Stadium,2017,Sri Lanka tour of India,T20,20,"Sri Lanka, India",Sri Lanka,India,international,India,field,India,,,5.0,JD Unadkat
2017-10-21,2.0,Antigua,Coolidge Cricket Ground,2017,Sri Lanka Women tour of West Indies,T20,20,"West Indies, Sri Lanka",West Indies,Sri Lanka,international,West Indies,bat,West Indies,,47.0,,ASS Fletcher
2017-11-09,2.0,,Sharjah Cricket Stadium,2017,New Zealand Women tour of United Arab Emirates,T20,20,"New Zealand, Pakistan",New Zealand,Pakistan,international,New Zealand,bat,New Zealand,,39.0,,SFM Devine
2017-11-12,3.0,,Sharjah Cricket Stadium,2017,New Zealand Women tour of United Arab Emirates,T20,20,"New Zealand, Pakistan",New Zealand,Pakistan,international,New Zealand,bat,New Zealand,,42.0,,SW Bates
2017-11-14,4.0,,Sharjah Cricket Stadium,2017,New Zealand Women tour of United Arab Emirates,T20,20,"Pakistan, New Zealand",Pakistan,New Zealand,international,Pakistan,bat,New Zealand,,,7.0,SFM Devine
2018-02-13,1.0,Potchefstroom,Senwes Park,2017,India Women tour of South Africa,T20,20,"South Africa, India",South Africa,India,international,India,field,India,,,7.0,M Raj
2018-02-16,2.0,East London,Buffalo Park,2017,India Women tour of South Africa,T20,20,"South Africa, India",South Africa,India,international,India,field,India,,,9.0,
