Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Man_Of_Match
2008-04-15,3.0,St Lucia,"Beausejour Stadium, Gros Islet",2007,Sri Lanka in West Indies ODI Series,ODI,50,"West Indies, Sri Lanka",West Indies,Sri Lanka,international,West Indies,field,,no result,,,
2008-06-24,1.0,St Vincent,"Arnos Vale Ground, Kingstown",2008,Australia in West Indies ODI Series,ODI,50,"West Indies, Australia",West Indies,Australia,international,West Indies,field,Australia,,84.0,,SE Marsh
2008-06-27,2.0,Grenada,"National Cricket Stadium, St George's",2008,Australia in West Indies ODI Series,ODI,50,"West Indies, Australia",West Indies,Australia,international,Australia,bat,Australia,,63.0,,MJ Clarke
2008-06-29,3.0,Grenada,"National Cricket Stadium, St George's",2008,Australia in West Indies ODI Series,ODI,50,"West Indies, Australia",West Indies,Australia,international,Australia,field,Australia,,,7.0,SR Watson
2008-07-04,4.0,St Kitts,"Warner Park, Basseterre",2008,Australia in West Indies ODI Series,ODI,50,"West Indies, Australia",West Indies,Australia,international,West Indies,field,Australia,,1.0,,A Symonds
2008-07-06,5.0,St Kitts,"Warner Park, Basseterre",2008,Australia in West Indies ODI Series,ODI,50,"West Indies, Australia",West Indies,Australia,international,Australia,bat,Australia,,169.0,,L Ronchi
2008-03-09,1.0,,Chittagong Divisional Stadium,2007,South Africa in Bangladesh ODI Series,ODI,50,"Bangladesh, South Africa",Bangladesh,South Africa,international,Bangladesh,bat,South Africa,,,9.0,GC Smith
2008-03-12,2.0,Mirpur,Shere Bangla National Stadium,2007,South Africa in Bangladesh ODI Series,ODI,50,"Bangladesh, South Africa",Bangladesh,South Africa,international,Bangladesh,bat,South Africa,,,7.0,A Nel
2008-03-14,3.0,Mirpur,Shere Bangla National Stadium,2007,South Africa in Bangladesh ODI Series,ODI,50,"Bangladesh, South Africa",Bangladesh,South Africa,international,Bangladesh,bat,South Africa,,,7.0,JA Morkel
2008-06-29,2.0,King City,Maple Leaf North-West Ground,2008,Bermuda in Canada ODI Series,ODI,50,"Canada, Bermuda",Canada,Bermuda,international,Canada,field,Bermuda,,11.0,,S Dhaniram
